CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT011,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Macrophage,Macrophage,TAM-like macrophages,"APOE, C1QA, C1QB, TREM2, SLC40A1, GPNMB",31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,clinical phenotype,Survival,worse overall survival,,clinical samples,survival analysis,analysis,clinical data,"Only the TAM-like signature was associated with a poor prognosis (p = 0.01, Cox regression)."
CT012,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Cancer cell,Cancer cell, micrometastatic cells,PHLDA2,32144411,Transcriptional diversity and bioenergetic shift in human breast cancer metastasis revealed by single-cell RNA sequencing,Nature cell biology,2020,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Metastasis,attenuates the metastatic,,MDA-MB-231 cells,Flow cytometry,BD FACSAria Fusion cell sorter,protein,"Flow cytometry analysis showed an almost threefold decrease in the frequency of metastatic cells in the lungs of the treatment group (Fig. 6g), showing that OXPHOS inhi bition attenuates the metastatic capacity of MDA-MB-231 cells."
CT013,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Cancer cell,Cancer cell, micrometastatic cells,PHLDA2,32144411,Transcriptional diversity and bioenergetic shift in human breast cancer metastasis revealed by single-cell RNA sequencing,Nature cell biology,2020,single cell transcriptome,Smart-seq2,biological phenotype,Others,higher gene expression,,mice,Quantitative PCR,"PowerUp SYBRGreen master mix (Applied Biosystems, cat. no. A25742)",RNA,"Quantitative PCR analysis of sorted TMRMhigh and TMRMlow cells confirmed that TMRMhigh cells express higher levels of the genes involved in mitochondrial biogenesis and the ETC, validating the TMRM assay in PDX cells (Fig. 4e)."
CT014,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Cancer cell,Cancer cell, micrometastatic cells,PHLDA2,32144411,Transcriptional diversity and bioenergetic shift in human breast cancer metastasis revealed by single-cell RNA sequencing,Nature cell biology,2020,single cell transcriptome,Smart-seq2,biological phenotype,Others,higher mitochondrial membrane potential,,mice,Flow cytometry,BD FACSAria Fusion cell sorter,protein,Flow cytometry analysis showed that the mitochondrial membrane potential of micrometastases was threefold higher than primary tumour cells (P=0.0331; Fig. 4f).
CT015,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Cancer cell,Cancer cell, micrometastatic cells,PHLDA2,32144411,Transcriptional diversity and bioenergetic shift in human breast cancer metastasis revealed by single-cell RNA sequencing,Nature cell biology,2020,single cell transcriptome,Smart-seq2,clinical phenotype,Tumor Recurrence,increased relapse,,mice,survival analysis,analysis,clinical data,Our survival analysis showed that PHLDA2 was significantly predictive of increased relapse (P=7.4×10−3; HR=1.44) in patients with basal-like breast cancer (Extended Data Fig. 3a).
CT016,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Cancer cell,Cancer cell, micrometastatic cells,PHLDA2,32144411,Transcriptional diversity and bioenergetic shift in human breast cancer metastasis revealed by single-cell RNA sequencing,Nature cell biology,2020,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Metastasis,metastasis,,BALB/c mice,green fluorescent protein (GFP),Hamamatsu,protein,"We injected green fluorescent protein (GFP)-labelled 4T1 cells (1×105) into BALB/c mice and harvested the lungs of the mice 5d later, as 4T1 cells metastasize rapidly in the lung. Remarkably, the animals injected with oligomycin-treated 4T1–GFP cells displayed a sevenfold decrease in metastatic cells in their lungs at this early time point (Fig. 6h), suggesting OXPHOS is important to facilitate early events in the metastatic cascade."
CT017,Human,Nasopharynx,unknown,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,unknown,Myeloid cell,DC1,CLEC9A+ dendritic cells,CLEC9A、XCR1、BATF3,32686767,Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma,cell research,2020,Single-cell RNA sequencing,10× Genomics Chromium,clinical phenotype,Survival,Progression-Free Survival,improved survival,clinical sample,survival analysis,analysis,clinical information,"Importantly, positive associations were significant between survival and the signatures of macrophages, pDCs, DC1, NK cells, and plasma cells in NPC Cohort A (Fig. 7d, e). Furthermore, these associations were also evident in NPC Cohort B (Supplementary information, Fig. S7a), validating their reliability as prognostic biomarkers in NPC."
CT018,Human,Nasopharynx,unknown,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,unknown,Myeloid cell,Macrophages,Macrophages,CD14、CD163、APOE、C1QA、C1QB,32686767,Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma,cell research,2020,Single-cell RNA sequencing,10× Genomics Chromium,clinical phenotype,Survival,Progression-Free Survival,improved survival,clinical sample,survival analysis,analysis,clinical information,"Importantly, positive associations were significant between survival and the signatures of macrophages, pDCs, DC1, NK cells, and plasma cells in NPC Cohort A (Fig. 7d, e). Furthermore, these associations were also evident in NPC Cohort B (Supplementary information, Fig. S7a), validating their reliability as prognostic biomarkers in NPC."
CT019,Human,Nasopharynx,unknown,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,unknown,T cell,NK cells,natural killer cells,XCL1/2、KLRC1、KLRF1,32686767,Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma,cell research,2020,Single-cell RNA sequencing,10× Genomics Chromium,clinical phenotype,Survival,Progression-Free Survival,improved survival,clinical sample,survival analysis,analysis,clinical information,"Importantly, positive associations were significant between survival and the signatures of macrophages, pDCs, DC1, NK cells, and plasma cells in NPC Cohort A (Fig. 7d, e). Furthermore, these associations were also evident in NPC Cohort B (Supplementary information, Fig. S7a), validating their reliability as prognostic biomarkers in NPC."
CT020,Human,Nasopharynx,unknown,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,unknown,B cell,Plasma cells,plasma cells,CD38、SDC1、MZB1,32686767,Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma,cell research,2020,Single-cell RNA sequencing,10× Genomics Chromium,clinical phenotype,Survival,Progression-Free Survival,improved survival,clinical sample,survival analysis,analysis,clinical information,"Importantly, positive associations were significant between survival and the signatures of macrophages, pDCs, DC1, NK cells, and plasma cells in NPC Cohort A (Fig. 7d, e). Furthermore, these associations were also evident in NPC Cohort B (Supplementary information, Fig. S7a), validating their reliability as prognostic biomarkers in NPC."
CT021,Human,Nasopharynx,unknown,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,unknown,Myeloid cell,pDCs,plasmacytoid dendritic cells,LILRA4、IL3RA、TCF4、TCL1A、CLEC4C,32686767,Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma,cell research,2020,Single-cell RNA sequencing,10× Genomics Chromium,clinical phenotype,Survival,Progression-Free Survival,improved survival,clinical sample,survival analysis,analysis,clinical information,"Importantly, positive associations were significant between survival and the signatures of macrophages, pDCs, DC1, NK cells, and plasma cells in NPC Cohort A (Fig. 7d, e). Furthermore, these associations were also evident in NPC Cohort B (Supplementary information, Fig. S7a), validating their reliability as prognostic biomarkers in NPC."
CT022,Human,Bone marrow,Bone marrow,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Acute myeloid leukemia,Natural killer cell ,Natural killer cell ,CD160 high NK cell,"CD3, CD14, CD19, CD45, CD56,CD160 ",33239726, Single-cell profiling reveals the trajectories of natural killer cell differentiation in bone marrow and a stress signature induced by acute myeloid leukemia,Cellular & molecular immunology,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"The higher level of CD160 expression in bone marrow NK cells from healthy donors than in bone marrow cells from donors with donors with AML was confirmed by flow cytometric assessment of protein levels…... The survival rates of patients with CD160high AML were much higher than those of patients with CD160low cancer, suggesting that CD160 is an antitumor biomarker in AML (Fig. 5G)."
CT023,Human,Skin,Skin,Melanoma,Uveal melanoma,Uveal melanoma,Cancer cell,Cancer cell,HES6+ uveal melanoma cell,HES6,33462406,Single-cell RNA sequencing reveals intratumoral heterogeneity in primary uveal melanomas and identifies HES6 as a driver of the metastatic disease,Cell death and differentiation,2021,single cell transcriptome,10× Genomics,biological phenotype,Tumor Invasion,invasion,,cell line(Mel270),matrigel invasion assay,,,"Further, a matrigel invasion assay showed that Mel270 cells originating from the control spheroids efficiently invaded the matrigel compared to spheroids formed with the HES6-knockdown cells (Supplementary Fig. 17G)."
CT024,Human,Skin,Skin,Melanoma,Uveal melanoma,Uveal melanoma,Cancer cell,Cancer cell,HES6+ uveal melanoma cell,HES6,33462406,Single-cell RNA sequencing reveals intratumoral heterogeneity in primary uveal melanomas and identifies HES6 as a driver of the metastatic disease,Cell death and differentiation,2021,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,metastasis,,cell line(Mel270),CAM model,,,We thus studied tumor progression to metastasis of primary uveal melanoma cells in vivo using the CAM model (Fig. 5D). Control cells efficiently formed tumors and were overall also very efficient at forming metastasis as evidenced by cells that had disseminated to the lower CAM (Fig. 5D–F). 
CT025,Human,Skin,Skin,Melanoma,Uveal melanoma,Uveal melanoma,Cancer cell,Cancer cell,HES6+ uveal melanoma cell,HES6,33462406,Single-cell RNA sequencing reveals intratumoral heterogeneity in primary uveal melanomas and identifies HES6 as a driver of the metastatic disease,Cell death and differentiation,2021,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,migration,,cell line(MP46),,,,"Ectopic HES6 expression enhanced migration of two different primary cell lines (Fig. 4B–D and Supplementary Fig. 12A, C). "
CT026,Human,Skin,Skin,Melanoma,Uveal melanoma,Uveal melanoma,Cancer cell,Cancer cell,HES6+ uveal melanoma cell,HES6,33462406,Single-cell RNA sequencing reveals intratumoral heterogeneity in primary uveal melanomas and identifies HES6 as a driver of the metastatic disease,Cell death and differentiation,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,Kaplan–Meier analysis showed that the HES6 regulon (Supplementary Table 4) as well HES6 itself which is carried by chromosome 2 were negatively correlated with overall survival (Fig. 3D E). In keeping with this both in tumors analyzed hereby and the TCGA dataset HES6 expression is associated with chromosome 3 loss (Supplementary Fig. 9) which in uveal melanomas highly correlates with the metastatic risk
CT027,Human,Skin,Skin,Melanoma,Melanoma,melanoma,T cell,T cell,cytotoxic CD8 T cell 3,"PRF1, GZMA, GZMK, NKG7",33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,". As shown in Figures 2C and 2D, high proportions of naive/memory and cytotoxic subpopulation 3 were associated with favorable clinical outcomes."
CT028,Human,Skin,Skin,Melanoma,Melanoma,melanoma,T cell,T cell,exhaustion CD8 T cell 2,"CXCL13, HSPB1, IRF4, LAYN, GIMAP6, HSPH1, CXCR6, CTLA4, PDCD1, LAG3, HAVCR2, TIGIT",33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data, exhausted subpopulation 2 could contribute to an unfavorable prognosis (Figure 2E).
CT029,Human,Skin,Skin,Melanoma,Melanoma,melanoma,T cell,T cell,naive/memory CD8 T cell,"CD8A, CD8B, CCR7, IL7R, TCF7, SELL, SATB1, GPR183, LTB, LEF1, S100A10",33575475,Single-cell RNA-sequencing analyses identify heterogeneity of CD8+ T cell subpopulations and novel therapy targets in melanoma,Molecular therapy oncolytics,2020,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,". As shown in Figures 2C and 2D, high proportions of naive/memory and cytotoxic subpopulation 3 were associated with favorable clinical outcomes."
CT030,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,unknown,B cell,B cells,memory B cells,CD19、CD20、IGHM、IGHG、CD27,33846305,Atlas of breast cancer infiltrated B-lymphocytes revealed by paired single-cell RNA-sequencing and antigen receptor profiling,Nature Communications,2021,Single-cell RNA-sequencing,10× Genomics,clinical phenotype,Survival,Overall Survival and Disease-Free Survival,associated with better survival,clinical sample,survival analysis,analysis,clinical information,"Indeed, using the expression data and clinical information of TNBC patients from the METABRIC consortium, we found that the transcription signatures of naive B cells and memory B cells were significantly associated with improved overall survival and disease-free survival in TNBC patients (Fig. 5a)."
CT031,Human,Breast,Breast,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,B cell,B cells,naive B cells,CD19、CD20、IGHM,33846305,Atlas of breast cancer infiltrated B-lymphocytes revealed by paired single-cell RNA-sequencing and antigen receptor profiling,Nature Communications,2021,Single-cell RNA-sequencing,10× Genomics,clinical phenotype,Survival,Overall Survival and Disease-Free Survival,associated with better survival,clinical sample,survival analysis,analysis,clinical information,"Indeed, using the expression data and clinical information of TNBC patients from the METABRIC consortium, we found that the transcription signatures of naive B cells and memory B cells were significantly associated with improved overall survival and disease-free survival in TNBC patients (Fig. 5a)."
CT032,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer stem cell,Cancer stem cells,Cancer stem cells,"CD133/PROM1, LGR5",33898197,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single-Cell Analysis of Transcriptome and Telomeres,Advanced science,2021,single cell transcriptome,10× Genomics and Smart-seq2,clinical phenotype,Tumor Growth,low proliferation,,clinical samples,immunohistochemistry,"BD Biosciences, Miltenyi Biotec",protein,These immunofluorescence in situ data were consistent with our single-cell analysis results that proliferation is low in CSCs
CT033,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer stem cell,Cancer stem cells,Cancer stem cells,"CD133/PROM1, LGR5",33898197,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single-Cell Analysis of Transcriptome and Telomeres,Advanced science,2021,single cell transcriptome,10× Genomics and Smart-seq2,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Moreover CRC patients with a high CSC signature represented by the CSC specific genes (NOTUM, SMOC2, BAMBI, PHLDA1, TNFRSF19, PROX1, IFI27, and ERBB3) exhibited significantly worse survival"
CT034,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma,Dendritic cell,Dendritic cells,cDC2,FCER1A、CD1C,33953163,Single-cell profiling of tumor heterogeneity and the microenvironment in advanced non-small cell lung cancer,Nature communications,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Interestingly, cDC2 displayed Langerin (CD207) expression, which was inferred to be dictated by the environment. TCGA survival analysis revealed that CD207 is a prognostic marker for LUAD, but not for LUSC."
CT035,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,T cell,T cell,CD8+ GZMB+ T cells,"ENTPD1, CXCL13",33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Immune Infiltration,higher activation state,,clinical samples,multiplex Immunofluorescence staining,"Abcam, ThermoFisher Scientific,  Roche",protein,"To validate the activation state of CD8+GZMB T cells in infiltrated versus excluded tumors at the protein level, we subjected 17 ovarian cancer tissues (9 infiltrated, 8 excluded) from an independent validation collection to multiplex immunofluorescence for cytokeratins (panCK), CD3, PD-1, and GZMB. Among all GZMB+ T cells (CD3/GZMB double positive), we observed a trend for higher fraction of GZMB+ T cells positive for PD-1 in the infiltrated tumors compared with the excluded tumors in the tumor epithelium (p = 0.077, Fig ure S3G), supporting the higher activation state of GZMB+ T cells in infiltrated tumors, specifically those in the tumor area."
CT036,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,T cell,T cell,CD8+ GZMK+ T cells,"EOMES, KLRG1, CMC1",33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Others,higher proportion,,clinical samples,RNAscope,"RNAscope 2.5 LS Duplex Reagent Kit (ACD, Cat # 322440) with the RNAscope 2.5 LS Green Accessory Pack (ACD, Cat # 322552)",RNA,"Our RNA-scope assay showed a significantly higher proportion of CD8A/GZMKdouble-positive cells in excluded sam ples compared with infiltrated samples (p = 0.03), but no significant difference in the proportion of CD8A/GZMB double-positive cells (Figure S3I)."
CT037,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,T cell,T cell,CD8+ GZMK+ T cells,"EOMES, KLRG1, CMC1",33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Immune Infiltration,infiltration,,clinical samples,RNAscope,"RNAscope 2.5 LS Duplex Reagent Kit (ACD, Cat # 322440) with the RNAscope 2.5 LS Green Accessory Pack (ACD, Cat # 322551)",RNA,We subjected the same 17 ovarian cancer samples from the validation collection to an RNA-scope assay for in situ co-hybridization of GZMK/CD8A and GZMB/CD8A as well as localization within the stromal versus tumor area through H&E staining. Both CD8A/GZMK and CD8A/GZMB double-positive T cells accumulated in peritumoral stroma of excluded tumors and in tumor epithelium of infiltrated tumors (Figure 3G).
CT038,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,T cell,T cell,CD8+ GZMK+ T cells,"EOMES, KLRG1, CMC1",33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter PFS,,clinical samples,survival analysis,analysis,clinical data,"Interestingly, while the GZMB/CD8+ ra tio was not associated with clinical outcome in this cohort, the GZMK/CD8+ ratio was significantly associated with shorter PFS, particularly when combined with the overall CD8+ T cell score in a multivariate model (p = 0.029, Figures 3J and S3K)."
CT039,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,epithelial/cancer cell,epithelial/cancer cell,cluster 0,"DEFB1, KRT5, CXCL10, WARS, LY6D, CRABP2, CXCL9, PHOV, C10orf99, PYCARD",33996252,Single-cell transcriptomics reveals the landscape of intra-tumoral heterogeneity and transcriptional activities of ECs in CC,Molecular therapy. Nucleic acids,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,worse prognosis,,clinical samples,survival analysis,analysis,clinical data,"Then, we found that cluster D (cluster 1 in scRNA-seq) was associated with a favorable survival outcome, while cluster B (cluster 0 in scRNA-seq) usually had a worse prognosis (Figure 2G)."
CT040,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,epithelial/cancer cell,epithelial/cancer cell,cluster 1,"CEACAM6, CD55, GJB6",33996252,Single-cell transcriptomics reveals the landscape of intra-tumoral heterogeneity and transcriptional activities of ECs in CC,Molecular therapy. Nucleic acids,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,better prognosis,,clinical samples,survival analysis,analysis,clinical data,"Then, we found that cluster D (cluster 1 in scRNA-seq) was associated with a favorable survival outcome, while cluster B (cluster 0 in scRNA-seq) usually had a worse prognosis (Figure 2G)."
